datetime,airTemperature,airTemeratureDiff,atmosphericPressure,atmosphericPressureDiff,gustSpeed,gustSpeedDiff,precipitation,relativeHumidity,relativeHumidityDiff,solarRadiation,windSpeed,windSpeedDiff,windDirection,windDirectionDiff,new,current,total,count1,count2,nonNegDigActivity,pademelon,red_necked_wallaby,great_barred_frog,yellow_throated_scrubwren,noisy_pitta
3/01/2023 11:00,23.7,0,100.29,0.04,1.04,-1.76,0,74.7,-0.1,0,0.34,-0.34,33.7,-304.2,0,0,0,1264,931,0,10,12,12,1,4
3/01/2023 12:00,23.3,-0.1,100.3,0.01,0.94,-0.24,0,76.5,0.3,0,0.34,-0.05,342.8,19.8,0,0,0,1264,931,0,6,10,10,14,13
3/01/2023 13:00,21.9,-0.2,100.28,-0.03,0.62,0.03,0,83.1,0.6,0,0.29,0.02,350.7,303.5,0,0,0,1264,931,0,9,9,5,0,3
3/01/2023 14:00,21.2,-0.4,100.25,-0.01,0.35,-0.71,0,85.8,1.6,0,0.16,-0.21,30.1,-219.1,0,0,0,1264,931,0,11,0,12,4,12
3/01/2023 15:00,21.1,-0.1,100.18,0,1.24,0.02,0,86.7,0.6,0,0.33,-0.07,26.8,-270.2,0,0,0,1264,931,0,12,4,0,2,6
3/01/2023 16:00,20.8,-0.1,100.19,0.01,0.46,-0.54,0,86.9,0.4,0,0.2,-0.1,57.6,-0.2,0,0,0,1264,931,0,14,14,5,0,5
3/01/2023 17:00,20.5,0,100.15,-0.02,0.74,0.25,0,88.4,0.2,0,0.24,0.03,52.4,-260.9,0,0,0,1264,931,0,8,5,0,5,11
3/01/2023 18:00,20.7,0.2,100.19,0.01,0.37,-0.33,0,89.3,-1,0,0.2,-0.05,17.9,-84.6,2,0,2,1264,931,0,8,1,11,0,1
3/01/2023 19:00,20.8,-0.1,100.24,0,0.71,-0.48,0,89.9,0.5,4,0.29,0.03,359.9,7.3,1,0,1,1264,931,0,9,1,0,4,14
3/01/2023 20:00,21.6,0.4,100.26,-0.01,0.78,-0.25,0,88.2,-1,35,0.21,-0.02,302.8,-5.6,38,19,57,1264,931,0,7,3,6,12,4
3/01/2023 21:00,23.7,0.5,100.3,0.01,1.81,0.24,0,79.9,-2.5,54,0.7,0.09,284.7,-19.2,87,61,148,1264,931,0,3,0,11,3,0
3/01/2023 22:00,25.3,0.5,100.29,0,2.42,-0.52,0,72.5,-3.3,81,0.98,0.05,260.6,14,89,40,129,1264,931,0,9,7,6,1,8
3/01/2023 23:00,25.9,-0.8,100.26,-0.01,2.25,0.63,0,70.5,3.8,386,0.69,0.08,267.5,39.5,105,81,186,1264,931,0,6,1,12,4,5
4/01/2023 0:00,26.9,-0.2,100.23,0.01,2.47,-1.44,0,72.5,1.4,943,0.85,-0.49,32.3,-31.6,77,99,176,1264,931,0,2,6,11,14,5
4/01/2023 1:00,27.5,0.4,100.18,-0.02,4.09,1.72,0,70.6,-2.9,1036,1.2,0.13,49.8,-6.4,67,94,161,1264,931,0,2,12,12,14,7
4/01/2023 2:00,27.1,0.4,100.13,-0.01,2.82,-0.26,0,75.7,-1.7,1090,1.21,-0.02,51.8,-7.2,72,55,127,1264,931,0,0,6,5,10,10
4/01/2023 3:00,26.9,-1.8,100.07,-0.02,4.08,0.79,0,78.1,9,704,1.28,-0.04,58.3,5,26,25,51,1264,931,0,11,6,11,13,8
4/01/2023 4:00,26.5,-0.6,100.01,-0.01,2.49,0.05,0,79.8,3.4,607,1.12,-0.02,44.7,4.4,54,26,80,1264,931,0,9,3,12,6,1
4/01/2023 5:00,26.2,-0.6,99.89,-0.04,2.84,-0.46,0,80.7,3.1,683,1.27,0.02,46,-4,59,35,94,1264,931,0,6,3,7,3,3
4/01/2023 6:00,27,-0.3,99.81,-0.01,5.71,1.04,0,79.3,1.3,570,1.14,0.23,11.8,-45.3,50,52,102,1264,931,0,4,11,6,12,14
4/01/2023 7:00,26.4,-0.6,99.8,-0.01,2.19,-1.01,0,80.6,1.5,110,1,-0.12,45.7,-301.6,40,27,67,1264,931,0,2,5,6,4,12
4/01/2023 8:00,26.2,-0.1,99.86,0.01,2.99,-0.32,0,81.7,0.7,22,0.92,-0.13,358.2,16.1,31,10,41,1264,931,0,13,4,7,14,1
4/01/2023 9:00,25.8,-0.1,99.86,-0.01,4.36,0.78,0,85.1,0.7,0,1.06,0.08,348.4,-6.4,0,1,1,1264,931,0,13,8,7,3,14
4/01/2023 10:00,25.9,0.1,100.01,0.04,4.76,0.64,0,87.2,0.3,0,0.87,-0.19,336.2,19.4,0,0,0,1264,931,0,3,14,1,14,12
4/01/2023 11:00,25.8,-0.1,100.04,0.03,3.05,-1.65,0.085,90.6,1.1,0,0.71,-0.15,349.6,29,0,0,0,1264,931,0,3,7,14,6,10
4/01/2023 12:00,24.9,-0.4,100.19,0.01,0.73,-1.62,0.119,92.8,1.6,0,0.25,-0.53,68.4,-218.6,0,0,0,1264,931,0,0,6,13,0,0
4/01/2023 13:00,24.2,0.2,100.18,0,1.2,-1.98,0.085,90.9,-1.1,0,0.47,-0.39,189.9,53,0,0,0,1264,931,0,0,11,7,12,1
4/01/2023 14:00,23.4,-0.4,100.15,0.01,1.89,0.19,0.051,95.1,1.6,0,0.8,0.28,249.3,-30.9,0,0,0,1264,931,0,2,3,8,4,0
4/01/2023 15:00,22.9,0,100.12,-0.05,2.66,0.85,0.119,94.4,-0.1,0,0.67,0,236.3,42.2,0,0,0,1264,931,0,4,0,5,9,0
4/01/2023 16:00,22.6,-0.3,100.1,-0.01,1.91,0.94,0,96.6,1.2,0,0.36,-0.06,234.6,-2.2,0,0,0,1264,931,0,6,13,13,7,0
4/01/2023 17:00,22.2,-0.4,100.01,-0.01,1.99,0.31,0.119,89.5,1,0,0.83,0.25,267.8,25.2,0,0,0,1264,931,0,10,1,9,0,9
4/01/2023 18:00,22.4,0,100.04,0.01,2.64,0.02,0,87,-0.4,0,0.69,-0.04,217,-7.4,0,0,0,1264,931,0,13,8,0,0,14
4/01/2023 19:00,22.8,0.5,100.06,0.02,1.71,0.43,0,83.8,-3.7,1,0.86,0.31,263.9,16.7,3,0,3,1264,931,0,5,8,14,5,7
4/01/2023 20:00,22.2,-0.3,100.18,0.04,1.06,-0.91,0.17,88.8,2.5,19,0.37,-0.13,136.8,-138.8,60,18,78,1264,931,0,14,0,7,6,10
4/01/2023 21:00,22.2,-0.1,100.25,0.03,0.44,0.05,0.051,92,3.6,58,0.24,0.09,120.4,115.8,73,32,105,1264,931,0,14,6,10,3,2
4/01/2023 22:00,23,0.3,100.25,-0.01,0.17,0.04,0.204,88.7,-0.2,71,0.05,-0.01,291.4,68.7,70,64,134,1264,931,0,13,0,14,0,1
4/01/2023 23:00,23.6,0.4,100.22,-0.01,1.77,1.03,0.017,90.9,-3.2,195,0.58,0.41,290.1,-10.3,64,29,93,1264,931,0,1,2,8,3,4
5/01/2023 0:00,25,0.5,100.2,0.01,1.14,-0.1,0,82.6,-3.3,174,0.53,0.02,200.1,57.9,96,81,177,1264,931,0,0,8,10,13,9
5/01/2023 1:00,24.4,-0.4,100.24,-0.03,2.03,-0.33,0,87.9,3.3,190,0.57,-0.26,100.7,-22.5,121,122,243,1264,931,0,2,4,5,5,13
5/01/2023 2:00,24.6,0.6,100.21,-0.01,2.4,-0.22,0,85.5,-2.6,168,0.68,-0.35,118.5,-20.6,99,119,218,1264,931,0,1,13,3,12,3
5/01/2023 3:00,24.2,-0.4,100.23,0,1.12,-1.89,0.017,87.7,2.1,240,0.44,-0.36,97.7,-34.5,143,88,231,1264,931,0,3,3,3,5,4
5/01/2023 4:00,24.1,0.1,100.18,0,1.03,-0.15,0,87.7,-0.5,284,0.47,-0.02,60.3,6.1,42,32,74,1264,931,0,10,6,4,8,0
5/01/2023 5:00,24.9,0.3,100.1,-0.04,0.81,-0.07,0,84.9,-1,225,0.35,-0.07,54.8,-1.2,90,76,166,1264,931,0,7,3,4,3,5
5/01/2023 6:00,24.6,0,100.08,0.02,1.89,0.93,0,82.7,-0.3,63,0.45,0.08,27.5,-24.2,62,67,129,1264,931,0,6,11,13,1,3
5/01/2023 7:00,24.6,-0.1,100.13,0.02,1.79,0.8,0,82.6,0.6,44,0.5,0.01,53.9,30.5,23,16,39,1264,931,0,14,4,1,12,12
5/01/2023 8:00,24.6,0,100.16,-0.01,2.16,0.84,0,83.9,0.5,8,0.48,0.23,21.5,-12,26,7,33,1264,931,0,0,11,14,5,1
5/01/2023 9:00,24.2,-0.1,100.2,0.01,1.12,-0.2,0,89,1.1,0,0.31,-0.08,296.5,-23.8,7,1,8,1264,931,0,14,10,7,3,5
5/01/2023 10:00,23.9,0,100.24,0.02,1.54,0.43,0,90.4,-0.1,0,0.61,0.23,257.8,12.9,0,0,0,1264,931,0,12,8,8,3,11
5/01/2023 11:00,23.5,0,100.3,0.02,0.22,-0.57,0,92.1,0,0,0.12,-0.11,148.1,-51.7,1,0,1,1264,931,0,3,13,8,12,4
5/01/2023 12:00,23.5,0.1,100.43,0.04,4.52,1.08,0.034,91.4,-0.7,0,2.06,0.41,145,-13.1,0,0,0,1264,931,0,2,2,4,7,11
5/01/2023 13:00,22.3,0,100.49,0.02,5.3,-3.71,0,89.9,0.4,0,2.36,-0.01,138.2,11.3,0,0,0,1264,931,0,13,5,1,7,11
5/01/2023 14:00,22.5,0,100.43,-0.03,3.92,-0.28,0,89,-0.6,0,1.62,-0.4,144.4,-0.6,0,0,0,1264,931,0,0,14,14,12,8
5/01/2023 15:00,22.6,0.2,100.39,-0.01,3.53,0.71,0,87,-1.7,0,1.59,0.04,143.5,-5.3,0,0,0,1264,931,0,5,13,10,0,3
5/01/2023 16:00,21.5,-0.3,100.31,-0.02,5.22,1.14,0,90.4,0.2,0,2.27,0.16,152.9,-8.8,2,0,2,1264,931,0,5,1,2,8,8
5/01/2023 17:00,21.2,0,100.35,0.02,4.35,0.2,0,88,-0.7,0,2.2,0.35,157.3,4.5,1,2,3,1264,931,0,11,4,14,1,9
5/01/2023 18:00,20.8,-0.1,100.36,0,3.44,-1.01,0,89.3,0.5,0,1.76,-0.37,148.8,0.4,2,0,2,1264,931,0,11,1,0,4,3
5/01/2023 19:00,20.4,-0.1,100.41,0.02,3.47,0.07,0,89.3,0,3,1.89,0,150.5,-4.5,15,1,16,1264,931,0,9,4,9,14,14
5/01/2023 20:00,20.7,0.2,100.49,0.01,4.92,0.31,0,87.1,-1.3,49,2.63,0.36,153.8,2.9,41,12,53,1264,931,0,3,13,0,10,5
5/01/2023 21:00,21.5,0.3,100.54,0.02,5.21,-0.31,0,83.6,-0.9,106,2.69,0,159,3,52,34,86,1264,931,0,11,14,12,2,13
5/01/2023 22:00,22.4,0.1,100.54,0,6.7,0.81,0,80.7,-0.7,90,2.46,-0.33,143.3,-2.8,137,157,294,1264,931,0,0,0,1,1,11
5/01/2023 23:00,24.5,-0.1,100.58,0.01,6.72,2.23,0,75.9,1.1,523,1.81,0.39,113.7,-7,253,146,399,1264,931,0,11,6,10,1,6
6/01/2023 0:00,24.8,-1.2,100.58,0.02,4.4,-0.14,0,74.9,5.4,946,1.46,-0.35,103.7,-15.5,100,155,255,1264,931,0,6,6,4,14,14
6/01/2023 1:00,25.7,0.3,100.58,0,4.5,-0.41,0,72.9,0.6,1079,1.59,-0.35,109.7,-11.1,92,94,186,1264,931,0,5,3,9,1,5
6/01/2023 2:00,25.2,-1.9,100.54,0,5.4,-3.7,0,75.6,7.1,837,1.52,-0.42,102.4,-18.5,71,95,166,1264,931,0,5,8,7,12,3
6/01/2023 3:00,26.7,-0.5,100.48,-0.02,3.92,-0.27,0,69.9,2.1,1030,1.54,0.03,97.6,4.3,68,41,109,1264,931,0,0,11,6,4,2
6/01/2023 4:00,26.5,0.6,100.45,0,3.4,-1.02,0,70.2,-2.6,898,1.47,-0.07,78.2,7.9,38,35,73,1264,931,0,5,4,0,10,9
6/01/2023 5:00,26.2,0.6,100.37,-0.01,3.96,0.71,0,70.7,-3.2,769,1.63,0.31,64.2,-7.4,45,27,72,1264,931,0,2,13,4,4,2
6/01/2023 6:00,25.1,-0.7,100.29,-0.03,3.49,-0.05,0,74.7,1.6,472,1.7,0.04,61.9,-11.6,56,44,100,1264,931,0,9,12,11,9,0
6/01/2023 7:00,24.6,0.1,100.35,0.01,5.81,2.43,0,75.8,-0.3,137,1.57,0.02,81.8,10.5,66,33,99,1264,931,0,11,0,7,5,8
6/01/2023 8:00,24,-0.2,100.41,0.03,3.42,-2.53,0,76,1.6,13,1.37,0.03,67.9,-12.1,63,33,96,1264,931,0,5,14,0,6,12
6/01/2023 9:00,23.3,-0.1,100.5,0.04,3.87,0.84,0,77.4,-1,0,1.47,0.04,78.6,9.1,27,0,27,1264,931,0,0,2,7,3,6
6/01/2023 10:00,23.4,-0.1,100.56,0.02,2.19,-1.41,0,76.6,0.2,0,1.04,-0.16,68.6,0.8,24,11,35,1264,931,0,4,3,8,2,10
6/01/2023 11:00,23.1,0,100.63,0.02,3.95,1.58,0,75.8,-0.7,0,1.29,0.13,79.7,8.9,1,0,1,1264,931,0,10,1,4,8,8
6/01/2023 12:00,23.1,0,100.67,0.01,2.53,-0.18,0,76.3,0.6,0,1.01,-0.05,70.1,-4.5,0,0,0,1264,931,0,0,0,9,12,12
6/01/2023 13:00,23.1,0.2,100.61,-0.02,4.2,1.75,0,75.2,-1.6,0,1.26,0.16,80.4,0.3,0,0,0,1264,931,0,8,10,1,6,13
6/01/2023 14:00,22.8,-0.2,100.58,-0.01,2.61,-1.63,0,74.1,1.7,0,1.16,-0.19,76.3,0,0,0,0,1264,931,0,14,11,1,1,8
6/01/2023 15:00,22.8,0,100.54,-0.02,2.6,-1.11,0,76,0.4,0,1,-0.15,75,-18.9,0,0,0,1264,931,0,10,14,10,10,9
6/01/2023 16:00,22.9,0.2,100.49,0,2.77,-1.16,0,76.9,0,0,1.12,0.13,78.9,1.1,0,0,0,1264,931,0,9,7,14,0,1
6/01/2023 17:00,21.4,0.1,100.5,0.01,3.73,0.79,0,81.6,-1,0,1.03,-0.02,152.5,-2.8,0,0,0,1264,931,0,1,7,12,3,3
6/01/2023 18:00,20.6,0,100.54,0.01,2.93,-0.78,0,84,0,0,1.57,-0.08,171.6,5.9,0,0,0,1264,931,0,14,5,12,4,7
6/01/2023 19:00,20,0,100.59,0.03,2.7,-0.79,0,85.6,-0.1,4,1.35,-0.22,149.6,-12.6,3,0,3,1264,931,0,14,4,14,13,10
6/01/2023 20:00,20.1,0.2,100.6,-0.01,3.87,-0.75,0,84.2,-1.2,53,1.83,0.08,156,-1.9,31,24,55,1264,931,0,11,8,14,13,10
6/01/2023 21:00,21.2,0.4,100.67,0.01,3.59,-1.28,0,82,-1,109,1.47,-0.64,156.3,-9.4,61,104,165,1264,931,0,11,0,4,10,12
6/01/2023 22:00,23.9,1.2,100.67,-0.03,5.05,1.68,0,76.7,-1.5,138,1.42,-0.32,138.1,-6,136,149,285,1264,931,0,12,11,13,7,3
6/01/2023 23:00,23.4,-0.4,100.74,0.01,6.44,1.56,0,77,1.5,381,1.73,0.4,117.4,10,171,229,400,1264,931,0,2,13,2,13,0
7/01/2023 0:00,24.5,0.6,100.73,0,6.71,0.45,0,71,-2.4,702,2.06,-0.27,129.9,-6.5,95,152,247,1264,931,0,14,12,12,12,13
7/01/2023 1:00,24.5,-0.7,100.69,-0.02,3.71,-2.3,0,70,1.6,1067,1.74,-0.26,111.7,-20.2,182,155,337,1264,931,0,1,7,1,10,9
7/01/2023 2:00,27,0,100.67,-0.02,4.26,-3.44,0,62.2,0.3,1075,1.5,0.16,109.5,17.2,344,136,480,1264,931,0,5,3,13,5,14
7/01/2023 3:00,26.7,0.2,100.59,0,3.44,0.01,0,59.9,-2.3,1017,1.23,-0.12,99.1,18.4,246,63,309,1264,931,0,11,0,12,14,1
7/01/2023 4:00,26.9,-0.4,100.51,-0.02,2.54,-0.02,0,62.1,2.3,885,1.18,0.1,85.1,10.6,63,66,129,1264,931,0,4,8,8,9,0
7/01/2023 5:00,26.8,0.5,100.42,-0.01,2.39,0.69,0,62.5,-1.1,697,1.02,0.01,77,12.9,34,32,66,1264,931,0,3,8,11,14,0
7/01/2023 6:00,26.4,0.1,100.33,-0.01,2.27,-0.38,0,65.6,2,500,1.07,-0.17,62,-0.5,32,23,55,1264,931,0,2,11,0,14,8
7/01/2023 7:00,25.7,-0.7,100.35,0.04,2.26,0.07,0,68.9,1.2,92,0.97,0.01,62.3,0.4,20,17,37,1264,931,0,7,14,13,8,5
7/01/2023 8:00,24.7,-0.1,100.41,-0.01,1.76,-1.11,0,71.6,2.3,70,0.63,-0.21,71.9,-15.1,17,1,18,1264,931,0,8,9,14,10,14
7/01/2023 9:00,24.2,0.1,100.44,0,2.3,0.83,0,75.1,-0.1,0,1,0.32,75,-0.6,0,0,0,1264,931,0,13,4,0,2,12
7/01/2023 10:00,23.6,0,100.46,0,4.5,1.93,0,76.2,1.2,0,1.09,0.03,100.7,23.3,1,0,1,1264,931,0,10,11,8,0,10
7/01/2023 11:00,23.6,0,100.53,0,3.11,1.11,0,76.8,0.4,0,1.21,0.18,85.8,2.8,0,0,0,1264,931,0,7,11,1,6,6
